Year,State,Broad_category,Fuel_category,Registered_vehicle
2013,Karnataka,HMV,Petrol & Others,0
2014,Karnataka,HMV,CNG,0
2014,Karnataka,HMV,Diesel & Others,82
2014,Karnataka,HMV,Electric Vehicle,0
2014,Karnataka,HMV,Others,0
2014,Karnataka,HMV,Petrol & Others,0
2015,Karnataka,HMV,CNG,0
2015,Karnataka,HMV,Diesel & Others,137
2015,Karnataka,HMV,Electric Vehicle,0
2015,Karnataka,HMV,Others,1
2015,Karnataka,HMV,Petrol & Others,0
2016,Karnataka,HMV,CNG,0
2016,Karnataka,HMV,Diesel & Others,284
2016,Karnataka,HMV,Electric Vehicle,0
2016,Karnataka,HMV,Others,0
2016,Karnataka,HMV,Petrol & Others,0
2017,Karnataka,HMV,CNG,0
2017,Karnataka,HMV,Diesel & Others,112
2017,Karnataka,HMV,Electric Vehicle,0
2017,Karnataka,HMV,Others,1
2017,Karnataka,HMV,Petrol & Others,1
2018,Karnataka,HMV,CNG,0
2018,Karnataka,HMV,Diesel & Others,335
2018,Karnataka,HMV,Electric Vehicle,0
2018,Karnataka,HMV,Others,1
2018,Karnataka,HMV,Petrol & Others,0
2019,Karnataka,HMV,CNG,0
2019,Karnataka,HMV,Diesel & Others,934
2019,Karnataka,HMV,Electric Vehicle,0
2019,Karnataka,HMV,Others,3
2019,Karnataka,HMV,Petrol & Others,0
2020,Karnataka,HMV,CNG,0
2020,Karnataka,HMV,Diesel & Others,179
2020,Karnataka,HMV,Electric Vehicle,0
2020,Karnataka,HMV,Others,0
2020,Karnataka,HMV,Petrol & Others,0
2021,Karnataka,HMV,CNG,0
2021,Karnataka,HMV,Diesel & Others,171
2021,Karnataka,HMV,Electric Vehicle,0
2021,Karnataka,HMV,Others,3
2021,Karnataka,HMV,Petrol & Others,0
2022,Karnataka,HMV,CNG,0
2022,Karnataka,HMV,Diesel & Others,129
2022,Karnataka,HMV,Electric Vehicle,0
2022,Karnataka,HMV,Others,6
2022,Karnataka,HMV,Petrol & Others,0
2023,Karnataka,HMV,CNG,0
2023,Karnataka,HMV,Diesel & Others,36
2023,Karnataka,HMV,Electric Vehicle,0
2023,Karnataka,HMV,Others,3
2023,Karnataka,HMV,Petrol & Others,0
2013,Karnataka,HPV,CNG,1
2013,Karnataka,HPV,Diesel & Others,4242
2013,Karnataka,HPV,Electric Vehicle,1
2013,Karnataka,HPV,Others,0
2013,Karnataka,HPV,Petrol & Others,8
2014,Karnataka,HPV,CNG,0
2014,Karnataka,HPV,Diesel & Others,2499
2014,Karnataka,HPV,Electric Vehicle,0
2014,Karnataka,HPV,Others,1
2014,Karnataka,HPV,Petrol & Others,4
2015,Karnataka,HPV,CNG,0
2015,Karnataka,HPV,Diesel & Others,2480
2015,Karnataka,HPV,Electric Vehicle,0
2015,Karnataka,HPV,Others,0
2015,Karnataka,HPV,Petrol & Others,1
2016,Karnataka,HPV,CNG,0
2016,Karnataka,HPV,Diesel & Others,3433
2016,Karnataka,HPV,Electric Vehicle,0
2016,Karnataka,HPV,Others,2
2016,Karnataka,HPV,Petrol & Others,5
2017,Karnataka,HPV,CNG,2
2017,Karnataka,HPV,Diesel & Others,5398
2017,Karnataka,HPV,Electric Vehicle,0
2017,Karnataka,HPV,Others,22
2017,Karnataka,HPV,Petrol & Others,3
2018,Karnataka,HPV,CNG,0
2018,Karnataka,HPV,Diesel & Others,2553
2018,Karnataka,HPV,Electric Vehicle,0
2018,Karnataka,HPV,Others,4
2018,Karnataka,HPV,Petrol & Others,16
2019,Karnataka,HPV,CNG,0
2019,Karnataka,HPV,Diesel & Others,2417
2019,Karnataka,HPV,Electric Vehicle,0
2019,Karnataka,HPV,Others,0
2019,Karnataka,HPV,Petrol & Others,0
2020,Karnataka,HPV,CNG,0
2020,Karnataka,HPV,Diesel & Others,191
2020,Karnataka,HPV,Electric Vehicle,2
2020,Karnataka,HPV,Others,0
2020,Karnataka,HPV,Petrol & Others,2
2021,Karnataka,HPV,CNG,0
2021,Karnataka,HPV,Diesel & Others,644
